,content,gender,rhyme,met
0,"Yo te he visto, en esa hora fugitiva
en que la tarde a desmayar empieza
doblar cual lirio enfermo la cabeza,
la cabeza adorable y pensativa
Y entonces, más que nunca, sugestiva
se ha mostrado a mis ojos tu belleza,
como un claro-oscuro de tristeza
con palidez que encanta y que cautiva
Y es que en tu corazón antes dormido
el ave del amor ha hecho su nido
y entona su dulcísimo cantar.
Y al escucharle, en ondas de ternura,
languidece de ensueños tu hermosura
¡cómo un suave crepúsculo en el mar!
",0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'C', 'D', 'E', 'E', 'D']","['+++-++---+-', '---+---+-+-', '-+++-+---+-', '--+--+---+-', '-+-+-+---+-', '+-+--+---+-', '-+---+---+-', '---+-+---+-', '+----++--+-', '-+---++--+-', '-+---+---+-', '---+++---+-', '--+--+---+-', '+++--+---+-']"
1,"Cordula, ¿qué es posible haber quedado
entre tantos millares con la vida?
Cordula, entre matanza tan crecida,
tú sola con la vida has escapado.
La espalda oprime al piélago esmaltado
virgíneo mar de sangre esclarecida,
¿y tú vive aun, cuando rendida
Ursula yace el cuerpo atravesado?
De aquí el temor, de allí el amor combate
sobre el amante corazón, adonde
la lucha, astillas crespas multiplica.
Vence al fin el amor en tal debate,
porque la que el temor cobarde esconde,
el amor atrevido la publica.
",0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['-+-+-+-+-+-', '--+--+---+-', '-+---+-+-+-', '++---++--+-', '-+-+-+---+-', '-+-+-+---+-', '-++--+---+-', '-+-+-+---+-', '-+-+-+-+-+-', '---+---+-+-', '-+-+-+---+-', '+-+--+-+-+-', '-----+-+-+-', '--+--+-+-+-']"
2,"Ese que en honra de la patria un día
alzó tu mano, esclarecido Conde,
monumento a las musas, do se esconde
tras la risueña máscara Talía;
campo de noble lid, donde a porfía
luchan los genios españoles, donde
con nuevos triunfos nuestra edad responde
de otra edad a la excelsa nombradía;
hará que justa en tu alabanza apure
la alta fama su aliento, y en la historia
lugar tan encumbrado te asegure,
que durará de España en la memoria
cuanto en los siglos venideros dure
de Lope y Tirso y Calderón la gloria.
",0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+--+---+++-', '-+-+---+-+-', '--+--+-+-+-', '---+-+---+-', '+--+-+---+-', '+--+---+-+-', '-+-+---+-+-', '+-+--+---+-', '-+-+---+-+-', '+-+--+---+-', '-++--+---+-', '---+-+---+-', '+--+---+-+-', '-+-+---+-+-']"
3,"Cuando el sol de la tarde sus rayos amortigua
y el muelle en sombra dejan sus pálidos reflejos,
por las aceras toscas de la explanada antigua,
siguiendo su costumbre, van llegando los viejos.
Desde ese muelle -anhelo de tres generaciones-
en otro tiempo vieron, sobre la azul llanura,
cruzar las blancas velas de las embarcaciones
como presagio humilde de la ciudad futura.
Y hoy, desde el viejo muelle, silencioso y desierto,
miran con turbios ojos salir del nuevo puerto
para Marsella o Londres, Hamburgo o Liverpool,
en vez de los pequeños veleros de estos días,
vapores poderosos que exportan mercancías
y manchan de humo negro el horizonte azul.
",0,"['A', 'B', 'A', 'B', 'C', 'D', 'C', 'D', 'E', 'E', '-', 'F', 'F', '-']","['--+--+--+---+-', '-+-+-+--+---+-', '---+-+----+-+-', '-+---+-+-+--+-', '-+-+-+--+---+-', '-+-+-+----+-+-', '-+-+-+------+-', '---+-+----+-+-', '+--+-+---+--+-', '+--+-+--+-+-+-', '---+-+--+----+', '-----+--+-+-+-', '-+---+--+---+-', '-+-+-+---+-+-']"
4,"No temen las Piérides hermosas
las áureas flechas del traidor Cupido;
antes adoran al rapaz de Gnido,
y sus pisadas siguen obsequiosas
Del poeta se alejan desdeñosas
en cuyo seno Amor no encuentra nido;
mas si alguien canta, de su arpón herido,
al vate todas cercan presurosas.
Víctima yo de su venganza ruda,
si a dioses canto o ínclitos varones,
se pega al paladar mi lengua muda.
Mas si a Lícida infiel, o al niño ciego
emprendo celebrar, en mis canciones,
¡cuánta dulzura entonces! ¡Cuánto fuego!
",0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'E', 'D', 'E']","['++---+---+-', '-+-+---+-+-', '+--+---+--+-', '---+-+---+-', '-+---+---+-', '---+-+++-+-', '-+-+---+-+-', '-+-+-+---+-', '+--+---+-+-', '-+-+-+---+-', '-+---+-+-+-', '--+--+-+-+-', '-+---+---+-', '+--+-----+-']"
5,"Este que, exhalación sin consumirse,
por los cuatro elementos se pasea,
palestra es de mi marcial pelea
y campo que no espera dividirse.
Voile siguiendo, y sígueme sin irse,
voime quedando, y por quedarse emplea
su mismo vuelo, y hallo que desea
ir y quedarse y con quedar partirse
Mi error me dice que su rapto apruebe,
pero ¿dónde camino, si su esfera
casi lo eterno con las alas mueve?
No me atrevo a seguirle aunque quisiera,
que corre mucho y temo que me lleve
en el último fin de la carrera.
",0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+----+---+-', '--+--+---+-', '-+-+---+-+-', '-+--++---+-', '+--+-+-+-++-', '+--+---+++-', '-+-+-+---+-', '+--++--+-+-', '-+++---+-+-', '--+--+---+-', '+-++---+-+-', '+++--++--+-', '-+-+-+--++-', '--+--+---+-']"
6,"No el orgullo triunfante al Laurel fuera,
si no irritara el ímpetu del rayo;
ni a su tronco Real eterno Mayo
las ramas inmortales floreciera
Penetra altivo la mayor esfera,
(negado siempre el ceño del desmayo)
y aunque su pompa de su muerte ensayo,
nunca consiente, que su pompa muera.
Laurel sagrado, así bella Mariana,
a los riesgos del rayo floreciente,
Su Majestad expone Soberana.
Y a mayores impulsos de valiente,
o Laura bien, o Águila Alemana,
invencible corona su Real frente.
",0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+-+--+--++-', '-+-+-+---+-', '--+--+-+-+-', '-+---+---+-', '-+-+---+-+-', '-+-+-+---+-', '---+---+-+-', '+--+---+-+-', '-+-+-++--+-', '--+--+---+-', '---+-+---+-', '--+--+---+-', '-+-+-+----', '--+--+--++-']"
7,"Prisionero infeliz, donde no expira
aura suave ni apacible viento,
mis penas lloro, mis desdichas siento,
que hiere un mal cuando otro se retira
Pájaro así que en libertad se mira,
sólo a su voz y a la del aire atento,
lamenta la prisión, gime al tormento,
cuando el perdido bien preso suspira.
Rigor fue de torturas, que previno
-tirana siempre de mi amor al fuego-
inhumana crueldad, bárbaros lazos.
Oh rapaz, tú en victoria peregrino,
¿por qué permites, pues te sigo ciego,
cadena injusta a mis amantes brazos?
",0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['--+--+--++-', '+-+----+-+-', '-+-+---+-+-', '+++--+---+-', '+--+---+-+-', '+--+---+-+-', '-+---++--+-', '---+-++--+-', '-++--+---+-', '-+-+---+-+-', '--+--++--+-', '--++-+---+-', '-+-+--++-+-', '-+-+---+-+-']"
8,"En el hueco de un cráneo carcomido
que el hado, cual corona funeraria,
puso sobre la peña solitaria
de una selva, hizo un pájaro su nido
Vagando yo, en mis sueños embebido
por aquella región hospitalaria,
llegué a la agreste peña cineraria
y vi aquel cráneo, emblema del olvido
Y cuando entre las ráfagas del viento
esperaba escuchar el triste acento
del grito postrimero de su inerte
boca, o con el alma estremecida,
salir de aquel despojo de la muerte
el trino placentero de la vida
",0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'C', 'D', 'E', 'D', 'E']","['--+-++---+-', '-+---+---+-', '+----+---+-', '+-++++---+-', '-+-+-+---+-', '--+--+---+-', '-+-+-+---+-', '-+++-+---+-', '-----+---+-', '--+--+-+-+-', '-+---+---+-', '+---+----+-', '-+-+-+---+-', '-+---+---+-']"
9,"Soy el pájaro lírico; yo estuve
en una jaula; la ciudad; hoy vuelo
sin trabas, como el cóndor y la nube,
por el mar, por la tierra y por el cielo
Ayer en mi prisión ruidosa y basta
hondamente canté mis propias penas,
mis decepciones y mis iras, y hasta
mis otras desventuras: las ajenas
Entonces fue mi canto un gran gemido;
mas hoy, que libre el firmamento sondo,
lejos del fausto y del odioso ruido,
a las miradas del burgués me escondo
de un monte en lo más hondo, y cuelgo el nido
al aire, porque así canto más hondo
",0,"['A', 'B', 'A', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'F']","['++--+--+-+-', '-+-+---+++-', '-+---+---+-', '--+--+---+-', '-+---+-+-+-', '+-+--+-+-+-', '---+---+-+-', '-+---+---+-', '-+-+-+++-+-', '-+-+---+-+-', '---+---+-+-', '---+---+++-', '++--++-+-+-', '-+---++-++-']"
